hw,backend,bucket,cost_ratio
RTX_4500_Ada_Generation,eager,T1/224,2.7317
RTX_4500_Ada_Generation,eager,T8/224,1.6080
RTX_4500_Ada_Generation,eager,T32/224,1.4552
RTX_4500_Ada_Generation,eager,T1/384,2.7782
RTX_4500_Ada_Generation,eager,T8/384,1.9755
RTX_4500_Ada_Generation,eager,T32/384,1.0912
RTX_4500_Ada_Generation,eager,S1/224,3.1878
RTX_4500_Ada_Generation,eager,S8/224,2.5233
RTX_4500_Ada_Generation,eager,S32/224,4.4073
RTX_4500_Ada_Generation,eager,S1/384,2.8114
RTX_4500_Ada_Generation,eager,S8/384,4.7699
RTX_4500_Ada_Generation,eager,S32/384,1.9573
RTX_4500_Ada_Generation,eager,D1/224,3.1993
RTX_4500_Ada_Generation,eager,D8/224,2.5568
RTX_4500_Ada_Generation,eager,D32/224,4.3785
RTX_4500_Ada_Generation,eager,D1/384,2.8041
RTX_4500_Ada_Generation,eager,D8/384,4.6913
RTX_4500_Ada_Generation,eager,D32/384,2.1158
RTX_4500_Ada_Generation,eager,B1/224,2.6330
RTX_4500_Ada_Generation,eager,B8/224,6.3099
RTX_4500_Ada_Generation,eager,B32/224,3.0987
RTX_4500_Ada_Generation,eager,B1/384,3.9131
RTX_4500_Ada_Generation,eager,B8/384,5.9371
RTX_4500_Ada_Generation,eager,B32/384,4.1360
RTX_4500_Ada_Generation,torchscript,T1/224,1.9708
RTX_4500_Ada_Generation,torchscript,T8/224,1.5982
RTX_4500_Ada_Generation,torchscript,T32/224,1.4299
RTX_4500_Ada_Generation,torchscript,T1/384,2.3654
RTX_4500_Ada_Generation,torchscript,T8/384,1.9323
RTX_4500_Ada_Generation,torchscript,T32/384,1.0872
RTX_4500_Ada_Generation,torchscript,S1/224,2.6559
RTX_4500_Ada_Generation,torchscript,S8/224,2.4892
RTX_4500_Ada_Generation,torchscript,S32/224,4.4144
RTX_4500_Ada_Generation,torchscript,S1/384,2.7858
RTX_4500_Ada_Generation,torchscript,S8/384,4.7413
RTX_4500_Ada_Generation,torchscript,S32/384,1.9599
RTX_4500_Ada_Generation,torchscript,D1/224,2.7910
RTX_4500_Ada_Generation,torchscript,D8/224,2.5125
RTX_4500_Ada_Generation,torchscript,D32/224,4.3801
RTX_4500_Ada_Generation,torchscript,D1/384,2.8006
RTX_4500_Ada_Generation,torchscript,D8/384,4.6820
RTX_4500_Ada_Generation,torchscript,D32/384,2.1256
RTX_4500_Ada_Generation,torchscript,B1/224,2.6315
RTX_4500_Ada_Generation,torchscript,B8/224,6.2425
