batch,duty,power_W,backend,median_cost
1,0,41.5,eager,17.830
1,0,41.5,torchscript,15.002
1,0,41.5,inductor_default,17.572
1,0,41.5,inductor_maxautotune,17.871
1,0,41.5,ort_cuda_fp32,13.086
1,0,41.5,ort_cuda_fp16,10.449
1,0,41.5,ort_trt,5.512
1,25,89.2,eager,19.999
1,25,89.2,torchscript,17.323
1,25,89.2,inductor_default,20.358
1,25,89.2,inductor_maxautotune,20.182
1,25,89.2,ort_cuda_fp32,19.869
1,25,89.2,ort_cuda_fp16,16.953
1,25,89.2,ort_trt,8.358
1,50,132.3,eager,22.475
1,50,132.3,torchscript,20.574
1,50,132.3,inductor_default,23.008
1,50,132.3,inductor_maxautotune,22.743
1,50,132.3,ort_cuda_fp32,28.493
1,50,132.3,ort_cuda_fp16,26.136
1,50,132.3,ort_trt,11.441
1,100,209.7,eager,36.783
1,100,209.7,torchscript,36.654
1,100,209.7,inductor_default,36.922
1,100,209.7,inductor_maxautotune,36.792
1,100,209.7,ort_cuda_fp32,84.919
1,100,209.7,ort_cuda_fp16,95.527
1,100,209.7,ort_trt,26.538
8,0,41.5,eager,12.420
8,0,41.5,torchscript,12.157
8,0,41.5,inductor_default,12.253
8,0,41.5,inductor_maxautotune,12.285
8,0,41.5,ort_cuda_fp32,10.618
8,0,41.5,ort_cuda_fp16,7.365
8,0,41.5,ort_trt,4.903
8,25,89.2,eager,14.545
8,25,89.2,torchscript,14.190
8,25,89.2,inductor_default,14.548
8,25,89.2,inductor_maxautotune,14.675
8,25,89.2,ort_cuda_fp32,12.108
8,25,89.2,ort_cuda_fp16,8.781
8,25,89.2,ort_trt,5.635
8,50,132.3,eager,18.255
8,50,132.3,torchscript,18.249
8,50,132.3,inductor_default,18.261
8,50,132.3,inductor_maxautotune,18.594
8,50,132.3,ort_cuda_fp32,14.118
8,50,132.3,ort_cuda_fp16,10.416
8,50,132.3,ort_trt,6.582
8,100,209.7,eager,44.183
8,100,209.7,torchscript,43.787
8,100,209.7,inductor_default,42.421
8,100,209.7,inductor_maxautotune,43.825
8,100,209.7,ort_cuda_fp32,25.729
8,100,209.7,ort_cuda_fp16,21.915
8,100,209.7,ort_trt,11.718
