step,phase,delta_oracle,delta_GLR-UCB,delta_D-UCB,delta_SW-UCB,switch_oracle,switch_GLR-UCB,switch_D-UCB,switch_SW-UCB
0,0,-4.4,89.5,89.5,89.5,0,0,0,0
1,0,-8.8,2090.9,2090.9,2090.9,0,1,1,1
2,0,-13.4,3515.4,3515.4,3515.4,0,1,1,1
3,0,-17.9,4923.0,4923.0,4923.0,0,1,1,1
4,0,-22.2,5459.0,5459.0,5459.0,0,1,1,1
5,0,-27.0,5721.6,5721.6,5721.6,0,1,1,1
6,0,-31.6,47069.2,47069.2,47069.2,0,1,1,1
7,0,-36.0,47069.2,47069.2,47069.2,0,0,0,0
8,0,-40.6,47069.2,47069.2,47069.2,0,0,0,0
9,0,-45.1,47069.2,47069.2,47069.2,0,0,0,0
10,0,-49.6,47069.2,47069.2,47069.2,0,0,0,0
11,0,-54.1,47069.2,47069.2,47069.2,0,0,0,0
12,0,-58.6,47069.2,47069.2,47069.2,0,0,0,0
13,0,-63.1,47069.2,47069.2,47069.2,0,0,0,0
14,0,-67.7,47069.2,47069.2,47069.2,0,0,0,0
15,0,-72.2,47069.2,47069.2,47069.2,0,0,0,0
16,0,-76.7,47069.2,47069.2,47069.2,0,0,0,0
17,0,-81.1,47069.2,47069.2,47069.2,0,0,0,0
18,0,-85.4,47069.2,47069.2,47069.2,0,0,0,0
19,0,-89.9,47069.2,47069.2,47069.2,0,0,0,0
20,0,-94.4,47069.2,47069.2,47069.2,0,0,0,0
21,0,-98.9,47069.2,47069.2,47069.2,0,0,0,0
22,0,-103.4,47069.2,47069.2,47069.2,0,0,0,0
23,0,-108.0,47069.2,47069.2,47069.2,0,0,0,0
24,0,-112.4,47069.2,47069.2,47069.2,0,0,0,0
25,0,-116.9,47069.2,47069.2,47069.2,0,0,0,0
26,0,-121.5,47069.2,47069.2,47069.2,0,0,0,0
27,0,-125.9,47069.2,47069.2,47069.2,0,0,0,0
28,0,-130.3,47069.2,47069.2,47069.2,0,0,0,0
29,0,-134.7,47069.2,47069.2,47069.2,0,0,0,0
30,0,-139.2,47069.2,47069.2,47069.2,0,0,0,0
31,0,-143.5,47069.2,47069.2,47069.2,0,0,0,0
32,0,-148.0,47069.2,47069.2,47069.2,0,0,0,0
33,0,-152.5,47069.2,47069.2,47069.2,0,0,0,0
34,0,-157.0,47069.2,47069.2,47069.2,0,0,0,0
35,0,-161.5,47069.2,47069.2,47069.2,0,0,0,0
36,0,-166.0,47069.2,47069.2,47069.2,0,0,0,0
37,0,-170.4,47069.2,47069.2,47069.2,0,0,0,0
38,0,-175.0,47069.2,47069.2,47069.2,0,0,0,0
39,0,-179.4,47069.2,47069.2,47069.2,0,0,0,0
40,0,-183.8,47069.2,47069.2,47069.2,0,0,0,0
41,0,-188.4,47069.2,47069.2,47069.2,0,0,0,0
42,0,-192.8,47069.2,47069.2,47069.2,0,0,0,0
43,0,-197.4,47069.2,47069.2,47069.2,0,0,0,0
44,0,-202.0,47069.2,47069.2,47069.2,0,0,0,0
45,0,-206.4,47069.2,47069.2,47069.2,0,0,0,0
46,0,-210.9,47069.2,47069.2,47069.2,0,0,0,0
47,0,-215.3,47069.2,47069.2,47069.2,0,0,0,0
48,0,-219.7,47069.2,47069.2,47069.2,0,0,0,0
49,0,-224.1,47069.2,47069.2,47069.2,0,0,0,0
50,0,-228.5,47069.2,47069.2,47069.2,0,0,0,0
51,0,-233.0,47069.2,47069.2,47069.2,0,0,0,0
52,0,-237.5,47069.2,47069.2,47069.2,0,0,0,0
53,0,-241.8,47069.2,47069.2,47069.2,0,0,0,0
54,0,-246.4,47069.2,47069.2,47069.2,0,0,0,0
55,0,-250.8,47069.2,47069.2,47069.2,0,0,0,0
56,0,-255.3,47069.2,47069.2,47069.2,0,0,0,0
57,0,-259.9,47069.2,47069.2,47069.2,0,0,0,0
58,0,-264.2,47069.2,47069.2,47069.2,0,0,0,0
59,0,-268.8,47069.2,47069.2,47069.2,0,0,0,0
60,0,-273.3,47069.2,47069.2,47069.2,0,0,0,0
61,0,-277.9,47069.2,47069.2,47069.2,0,0,0,0
62,0,-282.4,47069.2,47069.2,47069.2,0,0,0,0
63,0,-286.8,47069.2,47069.2,47069.2,0,0,0,0
64,0,-291.2,47069.2,47069.2,47069.2,0,0,0,0
65,0,-295.6,47069.2,47069.2,47069.2,0,0,0,0
66,0,-300.2,47069.2,47069.2,47069.2,0,0,0,0
67,0,-304.7,47069.2,47069.2,47069.2,0,0,0,0
68,0,-309.2,47069.2,47069.2,47069.2,0,0,0,0
69,0,-313.7,47069.2,47069.2,47069.2,0,0,0,0
70,0,-318.1,47069.2,47069.2,47069.2,0,0,0,0
71,0,-322.6,47069.2,47069.2,47069.2,0,0,0,0
72,0,-327.2,47069.2,47069.2,47069.2,0,0,0,0
73,0,-331.7,47069.2,47069.2,47069.2,0,0,0,0
74,0,-336.3,47069.2,47069.2,47069.2,0,0,0,0
75,0,-340.7,47069.2,47069.2,47069.2,0,0,0,0
76,0,-345.3,47069.2,47069.2,47069.2,0,0,0,0
77,0,-349.8,47069.2,47069.2,47069.2,0,0,0,0
78,0,-354.2,47069.2,47069.2,47069.2,0,0,0,0
