hw,bucket,margin_pct_0x,margin_pct_0.5x,margin_pct_1x,margin_pct_2x,margin_pct_4x
RTX_4500_Ada_Generation,D1/224,33.66,84.33,88.29,91.08,92.79
RTX_4500_Ada_Generation,D1/384,40.93,66.27,71.16,74.39,76.27
RTX_4500_Ada_Generation,D8/224,46.07,48.88,50.54,52.42,54.11
RTX_4500_Ada_Generation,D8/384,73.85,83.17,88.53,94.45,99.65
RTX_4500_Ada_Generation,D32/224,52.95,54.91,56.56,59.22,62.87
RTX_4500_Ada_Generation,D32/384,65.93,69.32,72.37,77.65,85.75
RTX_4500_Ada_Generation,B1/224,1.52,17.47,20.53,22.55,23.72
RTX_4500_Ada_Generation,B1/384,44.09,51.88,52.82,53.38,53.69
RTX_4500_Ada_Generation,B8/224,40.91,40.66,40.54,40.41,40.31
RTX_4500_Ada_Generation,B8/384,218.06,181.71,162.88,143.60,127.83
RTX_4500_Ada_Generation,B32/224,32.52,34.01,35.33,37.58,40.97
RTX_4500_Ada_Generation,B32/384,103.59,104.97,106.14,108.01,110.60
RTX_4500_Ada_Generation,S1/224,20.38,79.93,86.04,90.44,93.16
RTX_4500_Ada_Generation,S1/384,42.70,67.42,72.22,75.39,77.25
RTX_4500_Ada_Generation,S8/224,47.76,50.36,51.92,53.70,55.30
RTX_4500_Ada_Generation,S8/384,74.02,83.83,89.44,95.59,100.97
RTX_4500_Ada_Generation,S32/224,51.04,53.19,55.00,57.91,61.90
RTX_4500_Ada_Generation,S32/384,45.59,49.15,52.37,57.94,66.57
RTX_4500_Ada_Generation,T1/224,37.44,84.25,97.08,106.55,112.52
RTX_4500_Ada_Generation,T1/384,46.15,87.53,91.90,94.98,96.86
RTX_4500_Ada_Generation,T8/224,16.06,39.83,55.75,60.44,62.12
RTX_4500_Ada_Generation,T8/384,44.18,52.36,57.61,63.95,70.07
RTX_4500_Ada_Generation,T32/224,22.14,23.98,25.61,28.36,32.46
RTX_4500_Ada_Generation,T32/384,-1.65,3.27,7.91,16.42,30.93
Tesla_T4,D1/224,30.85,42.60,43.94,44.73,45.16
Tesla_T4,D1/384,69.01,68.67,68.63,68.61,68.59
Tesla_T4,D8/224,46.03,45.51,45.25,44.99,44.78
Tesla_T4,D8/384,55.95,64.97,70.72,77.62,84.23
Tesla_T4,D32/224,33.05,34.00,34.82,36.18,38.12
Tesla_T4,D32/384,72.14,73.30,74.25,75.72,77.66
Tesla_T4,B1/224,-8.77,-9.81,-9.93,-10.00,-10.03
Tesla_T4,B1/384,65.36,64.16,64.02,63.95,63.90
Tesla_T4,B8/224,28.68,30.91,32.34,34.07,35.75
Tesla_T4,B8/384,44.17,47.72,49.70,51.84,53.68
Tesla_T4,B32/224,33.84,33.66,33.52,33.28,32.98
Tesla_T4,B32/384,53.07,53.53,53.91,54.49,55.22
Tesla_T4,S1/224,36.42,44.99,45.97,46.54,46.85
Tesla_T4,S1/384,70.06,69.51,69.44,69.41,69.39
Tesla_T4,S8/224,46.37,46.80,47.01,47.22,47.38
Tesla_T4,S8/384,56.32,61.72,65.09,69.06,72.80
Tesla_T4,S32/224,32.85,33.78,34.58,35.91,37.82
Tesla_T4,S32/384,84.35,85.20,85.90,86.98,88.41
Tesla_T4,T1/224,24.67,42.88,45.48,47.08,47.98
Tesla_T4,T1/384,56.73,62.31,62.93,63.30,63.49
Tesla_T4,T8/224,42.18,42.37,42.47,42.57,42.64
Tesla_T4,T8/384,220.61,175.61,153.22,130.91,113.12
Tesla_T4,T32/224,142.65,132.17,123.79,111.21,95.49
Tesla_T4,T32/384,57.76,59.75,61.43,64.15,67.89
